TokenType::AS | as 
TokenType::BUILTIN | __builtin
TokenType::BREAK | break
TokenType::CASE | case 
TokenType::DEFINE | define
TokenType::CREATE | create 
TokenType::CONTINUE | continue
TokenType::DEFAULT | default
TokenType::DOUBLE_TYPE | double
TokenType::ELIF | elif 
TokenType::ELSE | else 
TokenType::ENUM | enum 
TokenType::FOR | for 
TokenType::FUNC | func 
TokenType::FALSE | false
TokenType::TRUE | true
TokenType::IF | if 
TokenType::STDIN | stdin
TokenType::STDERR | stderr
TokenType::STDOUT | stdout
TokenType::CHAR | char
TokenType::INT8_TYPE | int8
TokenType::INT16_TYPE | int16
TokenType::INT32_TYPE | int32
TokenType::INT64_TYPE | int64
TokenType::UINT8_TYPE | uint8
TokenType::UINT16_TYPE | uint16
TokenType::UINT32_TYPE | uint32
TokenType::UINT64_TYPE | uint64
TokenType::INCLUDE | include 
TokenType::RETURN | return
TokenType::STRUCT | struct 
TokenType::SWITCH | switch 
TokenType::TEMPLATE | template 
TokenType::WHILE | while 
TokenType::POINTER | ptr
TokenType::VOID | void
TokenType::BOOL | bool
TokenType::FILE_TYPE | file_t
TokenType::NULL_PTR | nullptr
TokenType::REFERENCE | ref
TokenType::CONST | const
